S/N,BRAND,MODEL,LOCATION,DATE ENTERED,OnHand
0773BJEG500004B,SAMSUNG,C1860FW,HO,,1.000000
716073,FUJI,C2275CPS,HO,,1.000000
553889,FUJI,DCVC2060CPS,HO,,1.000000
AL6B033169D0,OKI,ES8473MFP,HO,,2.000000
735428,FUJI,IVC2265CPS,HO,,1.000000
LQTA106377,CANON,LBP3460,HO,,1.000000
MNBA006822,CANON,LBP7110,HO,,1.000000
S2KY020023,EPSON,M200,HO,,1.000000
PHCTG00385,HP,M402DW,HO,,1.000000
CNDXK3G2D1,HP,M605x,HO,,1.000000
VNC3652738,HP,P2035,HO,,1.000000
CNFYC19182,HP,P4015N,HO,,15.000000
CN6BTFY092,HP,PRO577Z,HO,,5.000000
240574,FUJI,S2010,HO,,1.000000
EC9414587,FUJI,S2320,HO,,1.000000
0764BJEH50000C,SAMSUNG,SL-C1810W,HO,,1.000000
WKKK001707,EPSON,WF100,HO,,1.000000
JPB8B8VG05,- No Manufacturer -,M9040,HO,,1.000000
AK14006592A0,OKI,C310,HO,,1.000000
761462,FUJI,IVC2263CP,HO,,3.000000
VHTK010977,EPSON,L310,HO,,1.000000
NEAA008823,CANON,LBP253X,HO,,4.000000
400345,FUJI,S2011CPS,HO,,1.000000
ZDGHBJEH80001MK,- No Manufacturer -,ML-M3870FD,HO,,1.000000
CNB8K3D2K5,HP,M527DN,HO,,1.000000
CN661DJ099,HP,452DW,HO,,15.000000
CN661DJ0C7,HP,452DW,HO,,15.000000
CN693DZ006,HP,452DW,HO,,15.000000
DJ7733568,FUJI,P115W,HO,,3.000000
DJ7730072,FUJI,P115W,HO,,3.000000
DJ7730027,FUJI,P115W,HO,,3.000000
222452,FUJI,S2220CPS,HO,,1.000000
VNBJ9CS046,HP,3015,HO,,3.000000
VNBJ9CR00B,HP,3015,HO,,3.000000
VNB8B6C0PX,HP,3015,HO,,3.000000
NDFA003615,CANON,LBP8100N,HO,,4.000000
NDFA003728,CANON,LBP8100N,HO,,4.000000
NDFA003617,CANON,LBP8100N,HO,,4.000000
NDFA003611,CANON,LBP8100N,HO,,4.000000
CNB8K2805X,HP,M436NDA,HO,,20.000000
CNDXJD722V,HP,M605DN,HO,,3.000000
CNDXJD7223,HP,M605DN,HO,,3.000000
AL1C009747A0,OKI,MB840DN,HO,,5.000000
AL26047181A0,OKI,MB840DN,HO,,5.000000
AL26047183A0,OKI,MB840DN,HO,,5.000000
AL1C009749A0,OKI,MB840DN,HO,,5.000000
AL2505794A0,OKI,MB840DN,HO,,5.000000
CN79QGJ08C,HP,PRO477DW,HO,,15.000000
14EJBJFF60004QW,SAMSUNG,SCX6555N,HO,,5.000000
14EJBJFF60004BH,SAMSUNG,SCX6555N,HO,,5.000000
14EJBJFF60003HL,SAMSUNG,SCX6555N,HO,,5.000000
14EJBJFF600039Z,SAMSUNG,SCX6555N,HO,,5.000000
14EJBJFF60002YT,SAMSUNG,SCX6555N,HO,,5.000000
07Z0BJEH80000WB,SAMSUNG,SL-M4530ND,HO,,55.000000
07Z0BJEH80000SZ,SAMSUNG,SL-M4530ND,HO,,55.000000
07Z0BJEH80000DL,SAMSUNG,SL-M4530ND,HO,,55.000000
07Z0BJEH800006E,SAMSUNG,SL-M4530ND,HO,,55.000000
07Z0BJEH800001D,SAMSUNG,SL-M4530ND,HO,,55.000000
VNB8K3N9GR,HP,M277N,HO,,11.000000
VNB8K3N9CG,HP,M277N,HO,,11.000000
CE6231471,FUJI,CM225FW,HO,,8.000000
CE6231469,FUJI,CM225FW,HO,,8.000000
CE6231468,FUJI,CM225FW,HO,,8.000000
CE6231467,FUJI,CM225FW,HO,,8.000000
CE6231465,FUJI,CM225FW,HO,,8.000000
CE6231464,FUJI,CM225FW,HO,,8.000000
CE6231463,FUJI,CM225FW,HO,,8.000000
CE6226555,FUJI,CM225FW,HO,,8.000000
WTY12888,CANON,MF635CX,HO,,17.000000
WTY12893,CANON,MF635CX,HO,,17.000000
WTY12892,CANON,MF635CX,HO,,17.000000
WTY12904,CANON,MF635CX,HO,,17.000000
WTY12889,CANON,MF635CX,HO,,17.000000
WTY12887,CANON,MF635CX,HO,,17.000000
WTY12890,CANON,MF635CX,HO,,17.000000
WTY12694,CANON,MF635CX,HO,,17.000000
CNCXJ5S94Y,HP,M725DN,HO,,10.000000
CNC8J954M8,HP,M725DN,HO,,10.000000
CNC8JDL1P3,HP,M725DN,HO,,10.000000
CNC8JDL1NS,HP,M725DN,HO,,10.000000
CNCXJ6NFMG,HP,M725DN,CEB,,10.000000
CNCXJ6NFJM,HP,M725DN,CEB,,10.000000
CNC8J954J6,HP,M725DN,CEB,,10.000000
CNC8JDL1ND,HP,M725DN,CEB,,10.000000
CNC8JDL1NX,HP,M725DN,CEB,,10.000000
CNB8K691D8,HP,E77830DN,HO,,10.000000
CNB8K6A0LX,HP,E77830DN,HO,,10.000000
CNB8K6A0PR,HP,E77830DN,HO,,10.000000
CNB8K6Y155,HP,E77830DN,HO,,10.000000
