CardCode,CardName,Ref#,DocDate,ItemCode,Dscription,Serial,TransType
CUS00122,ASIA UNITED BANK,100013267,2018-05-26,M402DN,HP LASERJET PRO 400 PRINTER M402DN,PHCND38685,Outright
CUS01524,HOTEL ENTERPRISE OF THE PHILS,100013439,2018-05-29,L360,EPSON L360 PRINTER,VGFK380842,Outright
CUS02547,STANDARD INSURANCE MANILA,100013442,2018-05-29,Z8Z06A,HP Laser Jet Managed Flow MFP E72525DN,CNB8K4G04P,Outright
CUS03216,BARANGAY CUPANG,100013486,2018-05-30,L210,EPSON L210,SMXK242607,Outright
CUS03216,BARANGAY CUPANG,100013486,2018-05-30,L360,EPSON L360 PRINTER,VGFK045262,Outright
CUS03216,BARANGAY CUPANG,100013486,2018-05-30,M4555,HP LASERJET ENTERPRISE M4555 MFP,CNC8C96817,Outright
CUS00122,ASIA UNITED BANK,100013558,2018-05-31,M402DN,HP LASERJET PRO 400 PRINTER M402DN,PHCND37590,Outright
CUS00122,ASIA UNITED BANK,100013560,2018-05-31,M402DN,HP LASERJET PRO 400 PRINTER M402DN,PHCNF37006,Outright
CUS00122,ASIA UNITED BANK,100013561,2018-05-31,M402DN,HP LASERJET PRO 400 PRINTER M402DN,PHCNF37256,Outright
CUS00122,ASIA UNITED BANK,100013562,2018-05-31,SL-M4070FR,SAMSUNG PROXPRESS SL-M4070FR,ZDFJBJFJA000HPB,Outright
CUS00122,ASIA UNITED BANK,100013563,2018-05-31,M402DN,HP LASERJET PRO 400 PRINTER M402DN,PHCNF36996,Outright
CUS02179,ROBINSONS CONVENIENCE STORES INC,400003296,2018-05-25,LBP2900,CANON LBP2900,NDMA845008,Owned
CUS02229,ROHM ELECTRONICS PHILS INC,400003297,2018-05-25,MF633CDW,CANON MF633CDW PRINTER,WUE22267,Owned
CUS02229,ROHM ELECTRONICS PHILS INC,400003302,2018-05-25,SC2020,FUJI XEROX DOCUCENTRE SC2020,194939,Owned
CUS03131,DELOITTE SHARED SERVICE CENTER INC,400003303,2018-05-25,M377DW,HP LASERJET PRO 300 COLOR MFP M377DW,VNBKL3N5Q7,Owned
CUS01301,ETON PROPERTIES PHILIPPINES INC THE MINI SUITES,400003306,2018-05-25,ES5473DN,OKI ES5473DN COLOR FUNCTION PRINTER,AK6C006338A0,Owned
CUS01672,KYANI PHILIPPINES INC,400003307,2018-05-25,MF237W,CANON IMAGECLASS MF237W,WQS06389,Owned
CUS00021,ACHIEVERS FUEL AND SERVICE CENTER CORP,400003308,2018-05-25,MF244DW,CANON MF 244DW PRINTER,WQD08594,Owned
CUS03042,BELMONT NEWPORT LUXURY HOTELS INC SAVOY HOTEL MANILA,400003309,2018-05-25,SL-M4020,SAMSUNG PROXPRESS SL-M4020ND,CNB3KD4GNX,Owned
CUS03042,BELMONT NEWPORT LUXURY HOTELS INC SAVOY HOTEL MANILA,400003309,2018-05-25,SL-M4020,SAMSUNG PROXPRESS SL-M4020ND,CNB3KD4GPD,Owned
CUS03042,BELMONT NEWPORT LUXURY HOTELS INC SAVOY HOTEL MANILA,400003309,2018-05-25,SL-M4020,SAMSUNG PROXPRESS SL-M4020ND,CNB3KD4GQD,Owned
CUS03042,BELMONT NEWPORT LUXURY HOTELS INC SAVOY HOTEL MANILA,400003309,2018-05-25,SL-M4020,SAMSUNG PROXPRESS SL-M4020ND,CNB3KD4GQF,Owned
CUS03042,BELMONT NEWPORT LUXURY HOTELS INC SAVOY HOTEL MANILA,400003309,2018-05-25,SL-M4020,SAMSUNG PROXPRESS SL-M4020ND,CNB3KD4GQW,Owned
CUS02699,THE HUE HOTEL,400003310,2018-05-25,LBP2900,CANON LBP2900,NDMA844896,Owned
CUS02699,THE HUE HOTEL,400003310,2018-05-25,LBP2900,CANON LBP2900,NDMA882449,Owned
CUS02699,THE HUE HOTEL,400003310,2018-05-25,MF244DW,CANON MF 244DW PRINTER,WQD09576,Owned
CUS02083,PREMIUM BIKES CORP,400003311,2018-05-25,MF244DW,CANON MF 244DW PRINTER,WQD10011,Owned
CUS01408,FRONTIER ORTIGAS HOTEL AND RESORT CORP MARCO POLO ORTIGAS,400003313,2018-05-25,M426FDN,HP LASERJET PRO 400 PRINTER M426FDN,PHBLL4FJ25,Owned
