CardCode,COMPANY,CLIENT CATEGORY,ADDRESS,LOCATION,CONTACT NO.,ACCOUNT MANAGER
CUS03107,CEBU PROPERTY VENTURES & DEVELOPMENT CORP.,-No Industry-,20TH FLOOR ACC TOWER AYALA CEBU CITY,CEBU,231-5301,Imbing  Tatshanie
CUS03108,FOCOLARE MOVEMENT,-No Industry-,MANDAUE CEBU CITY,CEBU,345-1563,Flores  Lincy Leah
CUS03053,SARANGANI CATTLE COMPANY INC.,AGRICULTURE,ALCANTARA COMPOUND KM. 7  V. HIZON LANANG  DAVAO CITY,DAVAO,305-3009,Cocal  Ernil
CUS02921,ALBAY AGRO-INDUSTRIAL DEVELOPMENT CORPORATION,AGRICULTURE,5TH FLOOR SAGITTARIUS BLDG. HV DELA COSTA SALCEDO VILLAGE MAKATI CITY,MANILA,9770188230,Cao  Frederick
CUS00033,AGRINANAS DEVELOPMENT CO. INC.,AGRICULTURE,Powerhouse Bldg. KM9  Bo. Pampanga JP Laurel Ave. Lanang  Davao City,DAVAO,233-3637 loc 2826,Cocal  Ernil
CUS00895,BUREAU OF PLANT INDUSTRY,AGRICULTURE,692 SAN ANDRESS ST. MANILA,MANILA,526-7873,Orlanda  Desiree
CUS00021,ACHIEVERS FUEL AND SERVICE CENTER CORP.,AUTOMOTIVE,ROGERS PLACE UNIT 4 BLDG. NO.3 SALEM INT'L COMPLEX   PASAY CITY,MANILA,890-14-33,Monteiro  Aileen
CUS00160,AUTO CIRCULO (KIA MOTORS),AUTOMOTIVE,GROUND FLR. 205 EDSA COR. ROCHESTER GREENHILLS MANDALUYONG CITY,MANILA,942-2647,-No Sales Employee-
CUS01321,F&C AUTO SALES & MANAGEMENT SERVICE CO.,AUTOMOTIVE,ROOM 313 COMMON GOAL TOWER MBP ALABANG MUNTINLUPA CITY,MANILA,,-No Sales Employee-
CUS01332,FAST AUTO WORLD PHILS. CORP.,AUTOMOTIVE,MC. BRIONES ST. HIGHWAY MAGUIKAY MANDAUE CITY,CEBU,(032) 345 1233,Imbing  Tatshanie
CUS01591,IZUPART CENTER INC.,AUTOMOTIVE,207 7TH AVE. COR A. DEL MUNDO ST. CALOOCAN CITY,MANILA,02-361-607,Guerrero  Mark Anthony
CUS01829,MITSUBISHI MOTORS CEBU CORP.,AUTOMOTIVE,NATIONAL HIGHWAY  M. C. BRIONES STREET  MAGUIKAY  MANDAUE CITY,CEBU,032-345-1233,Imbing  Tatshanie
CUS02076,POWER-CHECK,AUTOMOTIVE,124 MABINI ST. BRGY. MABINI J. RIZAL MANDALUYONG CITY,MANILA,(02) 519-3270,Orlanda  Desiree
CUS02914,TECHNOL EIGHT PHILIPPINES CORPORATION,AUTOMOTIVE,127 EAST MAIN AVENUE  LAGUNA TECHNOPARK  BINAN  LAGUNA,MANILA,049-5412901,Bargamento  Heathcliffe
CUS02747,TOYOTA AUTOPARTS PHILS INC,AUTOMOTIVE,TOYOTA SEPZ BRGY.PULONG STA CRUZ SANTA ROSA CITY LAGUNA,MANILA,(049) 541-2888,Lucas  Jason
CUS02739,TOPSERVE WORLDWIDE EXPRESS INC,CARGO/FREIGHT,4199 PONTE ST.BRGY TEJEROS MAKATI CITY,MANILA,+632 478 9632,Lapiz  Catherine
CUS02788,ULTIMATE FREIGHT LOGISTICS INC.,CARGO/FREIGHT,,,,-No Sales Employee-
CUS02885,WWW EXPRESS CORPORATION,CARGO/FREIGHT,PASCOR DRIVE STO. NIÑO PARAÑAQUE CITY,MANILA,794  9/41,Alngog  Reynante
CUS02987,Yusen Logistics Philippines Inc.,CARGO/FREIGHT,2F NEW GALCO BLDG. CARGO COMPLEX MACTAN AIRPORT LAPU-LAPU CITY CEBU 6015,CEBU,(032) 346-2714,Flores  Lincy Leah
CUS03088,SAKATOON CORPORATION,CARGO/FREIGHT,PIER 7 PRIVATE GOTHONG WHARF MANDAUE CITY  CEBU,CEBU,0998-5964645,Imbing  Tatshanie
